#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Drp1	Hsc70-5	7227.FBpp0307166	7227.FBpp0086694	0	0	0	0	0.151	0.352	0	0.191	0.516
Gcn5	Stat92E	7227.FBpp0075701	7227.FBpp0306651	0	0	0	0	0.046	0.063	0.500	0.063	0.525
Gcn5	Hsf	7227.FBpp0075701	7227.FBpp0110266	0	0	0	0	0	0.655	0	0.082	0.669
Hsc70-2	Sod2	7227.FBpp0082175	7227.FBpp0311603	0	0	0	0	0.336	0.049	0	0.195	0.447
Hsc70-2	Hsf	7227.FBpp0082175	7227.FBpp0110266	0	0	0	0	0	0.348	0	0.201	0.456
Hsc70-2	Hsc70-5	7227.FBpp0082175	7227.FBpp0086694	0	0	0	0	0.173	0.318	0	0.187	0.501
Hsc70-2	Hsp23	7227.FBpp0082175	7227.FBpp0301282	0	0	0	0	0	0	0	0.512	0.512
Hsc70-2	Hsp83	7227.FBpp0082175	7227.FBpp0305095	0.044	0	0	0	0.415	0.465	0	0.599	0.863
Hsc70-5	Sod1	7227.FBpp0086694	7227.FBpp0075958	0	0	0	0	0	0.147	0	0.581	0.627
Hsc70-5	Hsp70Ab	7227.FBpp0086694	7227.FBpp0081956	0	0	0	0	0.173	0.318	0	0.187	0.501
Hsc70-5	Hsp70Bbb	7227.FBpp0086694	7227.FBpp0082105	0	0	0	0	0.173	0.318	0	0.187	0.501
Hsc70-5	Hsp70Bb	7227.FBpp0086694	7227.FBpp0082106	0	0	0	0	0.173	0.318	0	0.187	0.501
Hsc70-5	Hsp70Bc	7227.FBpp0086694	7227.FBpp0082107	0	0	0	0	0.173	0.318	0	0.187	0.501
Hsc70-5	Hsp23	7227.FBpp0086694	7227.FBpp0301282	0	0	0	0	0.042	0.119	0	0.465	0.509
Hsc70-5	Sod3	7227.FBpp0086694	7227.FBpp0308571	0	0	0	0	0	0.147	0	0.499	0.554
Hsc70-5	bsk	7227.FBpp0086694	7227.FBpp0291573	0	0	0	0	0	0.047	0	0.563	0.565
Hsc70-5	Hsf	7227.FBpp0086694	7227.FBpp0110266	0	0	0	0	0.136	0.158	0	0.603	0.685
Hsc70-5	Sod2	7227.FBpp0086694	7227.FBpp0311603	0	0	0	0	0.133	0.145	0	0.659	0.725
Hsc70-5	Hsp83	7227.FBpp0086694	7227.FBpp0305095	0.044	0	0	0	0.444	0.669	0	0.897	0.979
Hsf	Sod1	7227.FBpp0110266	7227.FBpp0075958	0	0	0	0	0	0	0	0.424	0.424
Hsf	Hsp70Ab	7227.FBpp0110266	7227.FBpp0081956	0	0	0	0	0	0.348	0	0.534	0.683
Hsf	Hsp70Bbb	7227.FBpp0110266	7227.FBpp0082105	0	0	0	0	0	0.348	0	0.341	0.551
Hsf	Hsp70Bb	7227.FBpp0110266	7227.FBpp0082106	0	0	0	0	0	0.902	0	0.561	0.955
Hsf	Hsp70Bc	7227.FBpp0110266	7227.FBpp0082107	0	0	0	0	0	0.348	0	0.201	0.456
Hsf	Sod3	7227.FBpp0110266	7227.FBpp0308571	0	0	0	0	0	0	0	0.455	0.455
Hsf	Sod2	7227.FBpp0110266	7227.FBpp0311603	0	0	0	0	0	0	0	0.548	0.548
Hsf	Hsp23	7227.FBpp0110266	7227.FBpp0301282	0	0	0	0	0.064	0.477	0.400	0.570	0.856
Hsf	Hsp83	7227.FBpp0110266	7227.FBpp0305095	0	0	0	0	0.106	0.745	0.500	0.862	0.982
Hsp23	Hsp70Ab	7227.FBpp0301282	7227.FBpp0081956	0	0	0	0	0	0.593	0	0.826	0.926
Hsp23	Hsp70Bbb	7227.FBpp0301282	7227.FBpp0082105	0	0	0	0	0	0	0	0.653	0.653
Hsp23	Hsp70Bb	7227.FBpp0301282	7227.FBpp0082106	0	0	0	0	0	0	0	0.653	0.653
Hsp23	Hsp70Bc	7227.FBpp0301282	7227.FBpp0082107	0	0	0	0	0.372	0	0	0.598	0.736
Hsp23	Hsp83	7227.FBpp0301282	7227.FBpp0305095	0	0	0	0	0.372	0.085	0.400	0.845	0.939
Hsp70Ab	Hsp70Bb	7227.FBpp0081956	7227.FBpp0082106	0	0	0.047	0.987	0	0.779	0	0.063	0.785
Hsp70Ab	Hsp83	7227.FBpp0081956	7227.FBpp0305095	0.044	0	0	0	0.372	0.465	0	0.735	0.903
Hsp70Bb	Hsp83	7227.FBpp0082106	7227.FBpp0305095	0.044	0	0	0	0.372	0.479	0	0.685	0.888
Hsp70Bbb	Hsp83	7227.FBpp0082105	7227.FBpp0305095	0.044	0	0	0	0.372	0.465	0	0.271	0.734
Hsp70Bc	Hsp83	7227.FBpp0082107	7227.FBpp0305095	0.044	0	0	0	0.421	0.465	0	0.458	0.818
Hsp83	bsk	7227.FBpp0305095	7227.FBpp0291573	0	0	0	0	0.048	0.085	0	0.386	0.418
Hsp83	Sod2	7227.FBpp0305095	7227.FBpp0311603	0.092	0	0	0	0.098	0.055	0	0.348	0.427
Ire1	Sod1	7227.FBpp0112160	7227.FBpp0075958	0	0	0	0	0	0.074	0	0.384	0.405
MTF-1	MtnC	7227.FBpp0112234	7227.FBpp0083292	0	0	0	0	0	0.046	0	0.829	0.829
MTF-1	MtnA	7227.FBpp0112234	7227.FBpp0306744	0	0	0	0	0	0.046	0	0.821	0.821
MTF-1	MtnD	7227.FBpp0112234	7227.FBpp0300409	0	0	0	0	0.049	0.044	0	0.824	0.826
MTF-1	MtnB	7227.FBpp0112234	7227.FBpp0311981	0	0	0	0	0	0.046	0	0.881	0.881
MtnA	MtnC	7227.FBpp0306744	7227.FBpp0083292	0	0	0	0	0	0	0	0.828	0.828
MtnA	MtnD	7227.FBpp0306744	7227.FBpp0300409	0	0	0	0	0.042	0	0	0.887	0.887
MtnA	Sod3	7227.FBpp0306744	7227.FBpp0308571	0	0	0	0	0	0.048	0	0.426	0.430
MtnA	MtnB	7227.FBpp0306744	7227.FBpp0311981	0	0	0	0	0.042	0	0	0.912	0.912
Pvr	dpp	7227.FBpp0291358	7227.FBpp0077453	0	0	0	0	0.082	0	0	0.639	0.654
Pvr	upd3	7227.FBpp0291358	7227.FBpp0112376	0	0	0	0	0	0	0	0.512	0.512
Pvr	bsk	7227.FBpp0291358	7227.FBpp0291573	0	0	0	0	0.054	0.701	0	0.346	0.798
Pvr	Stat92E	7227.FBpp0291358	7227.FBpp0306651	0	0	0	0	0.056	0.185	0.500	0.632	0.839
Rab5	Sod1	7227.FBpp0077473	7227.FBpp0075958	0	0	0	0	0	0	0	0.420	0.420
Rab5	scrib	7227.FBpp0077473	7227.FBpp0300852	0	0	0	0	0.061	0.778	0	0.330	0.848
Sod1	Sod3	7227.FBpp0075958	7227.FBpp0308571	0	0	0.081	0.919	0.042	0	0.900	0.065	0.906
Sod1	Sod2	7227.FBpp0075958	7227.FBpp0311603	0	0	0	0	0.359	0.802	0.900	0.739	0.996
Sod2	bsk	7227.FBpp0311603	7227.FBpp0291573	0	0	0	0	0.097	0.789	0	0.391	0.873
Sod2	Sod3	7227.FBpp0311603	7227.FBpp0308571	0	0	0	0	0.213	0.713	0.900	0.462	0.986
Stat92E	dpp	7227.FBpp0306651	7227.FBpp0077453	0	0	0	0	0.062	0.347	0	0.657	0.771
Stat92E	upd3	7227.FBpp0306651	7227.FBpp0112376	0	0	0	0	0	0.339	0.500	0.912	0.968
Stat92E	bsk	7227.FBpp0306651	7227.FBpp0291573	0	0	0	0	0.042	0.337	0	0.750	0.827
Stat92E	scrib	7227.FBpp0306651	7227.FBpp0300852	0	0	0	0	0.047	0.339	0	0.464	0.632
Stat92E	Tl	7227.FBpp0306651	7227.FBpp0303187	0	0	0	0	0.198	0.342	0	0.385	0.647
Tl	dpp	7227.FBpp0303187	7227.FBpp0077453	0	0	0	0	0.054	0.339	0	0.174	0.438
bsk	dpp	7227.FBpp0291573	7227.FBpp0077453	0	0	0	0	0	0	0	0.619	0.619
bsk	upd3	7227.FBpp0291573	7227.FBpp0112376	0	0	0	0	0	0.042	0	0.597	0.597
bsk	scrib	7227.FBpp0291573	7227.FBpp0300852	0	0	0	0	0.045	0.938	0	0.425	0.962
dpp	upd3	7227.FBpp0077453	7227.FBpp0112376	0	0	0	0	0	0	0	0.598	0.598
dpp	scw	7227.FBpp0077453	7227.FBpp0310402	0	0	0.160	0.629	0	0.969	0.400	0.346	0.988
scrib	upd3	7227.FBpp0300852	7227.FBpp0112376	0	0	0	0	0	0.062	0	0.519	0.529
