#node	identifier	category	term ID	term description
Ace	7227.FBpp0082248	GO Component	GO:0045202	Synapse
Ace	7227.FBpp0082248	GO Component	GO:0071944	Cell periphery
Ace	7227.FBpp0082248	GO Component	GO:0098552	Side of membrane
Ace	7227.FBpp0082248	GO Component	GO:0110165	Cellular anatomical structure
Ace	7227.FBpp0082248	STRING clusters	CL:13678	Mixed, incl. Autophagy - animal, and Metallopeptidase, catalytic domain superfamily
Ace	7227.FBpp0082248	STRING clusters	CL:13904	Peptidase M13, and Membrane protein ectodomain proteolysis
Ace	7227.FBpp0082248	STRING clusters	CL:13905	Mixed, incl. Membrane protein ectodomain proteolysis, and Angiotensin-converting enzyme
Ace	7227.FBpp0082248	STRING clusters	CL:13906	Mixed, incl. Membrane protein ectodomain proteolysis, and Angiotensin-converting enzyme
Ace	7227.FBpp0082248	KEGG	dme00564	Glycerophospholipid metabolism
Ace	7227.FBpp0082248	KEGG	dme04082	Neuroactive ligand signaling
Ace	7227.FBpp0082248	Reactome	DME-112311	Neurotransmitter clearance
Ace	7227.FBpp0082248	Reactome	DME-112315	Transmission across Chemical Synapses
Ace	7227.FBpp0082248	Reactome	DME-112316	Neuronal System
Ace	7227.FBpp0082248	Reactome	DME-1430728	Metabolism
Ace	7227.FBpp0082248	Reactome	DME-1483191	Synthesis of PC
Ace	7227.FBpp0082248	Reactome	DME-1483206	Glycerophospholipid biosynthesis
Ace	7227.FBpp0082248	Reactome	DME-1483257	Phospholipid metabolism
Ace	7227.FBpp0082248	Reactome	DME-556833	Metabolism of lipids
Ace	7227.FBpp0082248	Reactome	DME-9748784	Drug ADME
Ace	7227.FBpp0082248	Reactome	DME-9749641	Aspirin ADME
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0005576	Extracellular region
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0005622	Intracellular anatomical structure
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0005737	Cytoplasm
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0005886	Plasma membrane
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0016020	Membrane
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0030054	Cell junction
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0043083	Synaptic cleft
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0045202	Synapse
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0071944	Cell periphery
Ace	7227.FBpp0082248	COMPARTMENTS	GOCC:0110165	Cellular anatomical structure
Ace	7227.FBpp0082248	Monarch	FBcv:0000008	Modifier of variegation
Ace	7227.FBpp0082248	Monarch	FBcv:0000349	Viable
Ace	7227.FBpp0082248	Monarch	FBcv:0000351	Lethal
Ace	7227.FBpp0082248	Monarch	FBcv:0000352	Partially lethal - majority die
Ace	7227.FBpp0082248	Monarch	FBcv:0000374	Fertile
Ace	7227.FBpp0082248	Monarch	FBcv:0000380	Non-enhancer of variegation
Ace	7227.FBpp0082248	Monarch	FBcv:0000381	Suppressor of variegation
Ace	7227.FBpp0082248	Monarch	FBcv:0000382	Non-suppressor of variegation
Ace	7227.FBpp0082248	Monarch	FBcv:0000387	Abnormal behavior
Ace	7227.FBpp0082248	Monarch	FBcv:0000389	Paralytic
Ace	7227.FBpp0082248	Monarch	FBcv:0000390	Decreased rate of movement
Ace	7227.FBpp0082248	Monarch	FBcv:0000399	Abnormal courtship behavior
Ace	7227.FBpp0082248	Monarch	FBcv:0000400	Abnormal mating
Ace	7227.FBpp0082248	Monarch	FBcv:0000414	Abnormal locomotor behavior
Ace	7227.FBpp0082248	Monarch	FBcv:0000416	Uncoordinated
Ace	7227.FBpp0082248	Monarch	FBcv:0000434	Abnormal neurophysiology
Ace	7227.FBpp0082248	Monarch	FBcv:0000435	Abnormal neuroanatomy
Ace	7227.FBpp0082248	Monarch	FBcv:0000438	Electrophoretic variant
Ace	7227.FBpp0082248	Monarch	FBcv:0000439	Chemical resistant
Ace	7227.FBpp0082248	Monarch	FBcv:0000721	Abnormal mating behavior
Ace	7227.FBpp0082248	Monarch	FBcv:0002000	Lethal - all die before end of P-stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002001	Lethal - all die before end of first instar larval stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002002	Lethal - all die before end of larval stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002003	Lethal - all die before end of second instar larval stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002004	Increased mortality
Ace	7227.FBpp0082248	Monarch	FBcv:0002015	Partially lethal
Ace	7227.FBpp0082248	Monarch	FBcv:0002019	Increased mortality during development
Ace	7227.FBpp0082248	Monarch	FBcv:0002026	Lethal - all die before end of prepupal stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002027	Lethal - all die before end of pupal stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002033	Lethal - all die during embryonic stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002037	Majority die during embryonic stage
Ace	7227.FBpp0082248	Monarch	FBcv:0002041	Some die during embryonic stage
Ace	7227.FBpp0082248	UniProt Keywords	KW-0325	Glycoprotein
Ace	7227.FBpp0082248	UniProt Keywords	KW-0378	Hydrolase
Ace	7227.FBpp0082248	UniProt Keywords	KW-0719	Serine esterase
Ace	7227.FBpp0082248	UniProt Keywords	KW-0732	Signal
Ace	7227.FBpp0082248	UniProt Keywords	KW-0770	Synapse
Ace	7227.FBpp0082248	UniProt Keywords	KW-1015	Disulfide bond
Ace	7227.FBpp0082248	Pfam	PF07859	Alpha/beta hydrolase fold
Ace	7227.FBpp0082248	InterPro	IPR000997	Cholinesterase
Ace	7227.FBpp0082248	InterPro	IPR002018	Carboxylesterase, type B
Ace	7227.FBpp0082248	InterPro	IPR019819	Carboxylesterase type B, conserved site
Ace	7227.FBpp0082248	InterPro	IPR019826	Carboxylesterase type B, active site
Ace	7227.FBpp0082248	InterPro	IPR029058	Alpha/Beta hydrolase fold
Akt1	7227.FBpp0082682	GO Process	GO:0001558	Regulation of cell growth
Akt1	7227.FBpp0082682	GO Process	GO:0001667	Ameboidal-type cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0002009	Morphogenesis of an epithelium
Akt1	7227.FBpp0082682	GO Process	GO:0002011	Morphogenesis of an epithelial sheet
Akt1	7227.FBpp0082682	GO Process	GO:0002682	Regulation of immune system process
Akt1	7227.FBpp0082682	GO Process	GO:0002791	Regulation of peptide secretion
Akt1	7227.FBpp0082682	GO Process	GO:0002792	Negative regulation of peptide secretion
Akt1	7227.FBpp0082682	GO Process	GO:0003006	Developmental process involved in reproduction
Akt1	7227.FBpp0082682	GO Process	GO:0006915	Apoptotic process
Akt1	7227.FBpp0082682	GO Process	GO:0006950	Response to stress
Akt1	7227.FBpp0082682	GO Process	GO:0006979	Response to oxidative stress
Akt1	7227.FBpp0082682	GO Process	GO:0007154	Cell communication
Akt1	7227.FBpp0082682	GO Process	GO:0007165	Signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0007166	Cell surface receptor signaling pathway
Akt1	7227.FBpp0082682	GO Process	GO:0007167	Enzyme-linked receptor protein signaling pathway
Akt1	7227.FBpp0082682	GO Process	GO:0007169	Cell surface receptor protein tyrosine kinase signaling pathway
Akt1	7227.FBpp0082682	GO Process	GO:0007275	Multicellular organism development
Akt1	7227.FBpp0082682	GO Process	GO:0007276	Gamete generation
Akt1	7227.FBpp0082682	GO Process	GO:0007281	Germ cell development
Akt1	7227.FBpp0082682	GO Process	GO:0007292	Female gamete generation
Akt1	7227.FBpp0082682	GO Process	GO:0007399	Nervous system development
Akt1	7227.FBpp0082682	GO Process	GO:0007424	Open tracheal system development
Akt1	7227.FBpp0082682	GO Process	GO:0007427	Epithelial cell migration, open tracheal system
Akt1	7227.FBpp0082682	GO Process	GO:0007623	Circadian rhythm
Akt1	7227.FBpp0082682	GO Process	GO:0008219	Cell death
Akt1	7227.FBpp0082682	GO Process	GO:0008284	Positive regulation of cell population proliferation
Akt1	7227.FBpp0082682	GO Process	GO:0008286	Insulin receptor signaling pathway
Akt1	7227.FBpp0082682	GO Process	GO:0008361	Regulation of cell size
Akt1	7227.FBpp0082682	GO Process	GO:0008582	Regulation of synaptic assembly at neuromuscular junction
Akt1	7227.FBpp0082682	GO Process	GO:0009611	Response to wounding
Akt1	7227.FBpp0082682	GO Process	GO:0009653	Anatomical structure morphogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0009719	Response to endogenous stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0009725	Response to hormone
Akt1	7227.FBpp0082682	GO Process	GO:0009888	Tissue development
Akt1	7227.FBpp0082682	GO Process	GO:0009892	Negative regulation of metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0009894	Regulation of catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0009895	Negative regulation of catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0009966	Regulation of signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0009967	Positive regulation of signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0009968	Negative regulation of signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0009987	Cellular process
Akt1	7227.FBpp0082682	GO Process	GO:0010631	Epithelial cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0010632	Regulation of epithelial cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0010634	Positive regulation of epithelial cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0010646	Regulation of cell communication
Akt1	7227.FBpp0082682	GO Process	GO:0010647	Positive regulation of cell communication
Akt1	7227.FBpp0082682	GO Process	GO:0010648	Negative regulation of cell communication
Akt1	7227.FBpp0082682	GO Process	GO:0010817	Regulation of hormone levels
Akt1	7227.FBpp0082682	GO Process	GO:0010883	Regulation of lipid storage
Akt1	7227.FBpp0082682	GO Process	GO:0010884	Positive regulation of lipid storage
Akt1	7227.FBpp0082682	GO Process	GO:0010896	Regulation of triglyceride catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0010897	Negative regulation of triglyceride catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0010975	Regulation of neuron projection development
Akt1	7227.FBpp0082682	GO Process	GO:0010976	Positive regulation of neuron projection development
Akt1	7227.FBpp0082682	GO Process	GO:0012501	Programmed cell death
Akt1	7227.FBpp0082682	GO Process	GO:0016043	Cellular component organization
Akt1	7227.FBpp0082682	GO Process	GO:0016358	Dendrite development
Akt1	7227.FBpp0082682	GO Process	GO:0016477	Cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0019216	Regulation of lipid metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0019222	Regulation of metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0019953	Sexual reproduction
Akt1	7227.FBpp0082682	GO Process	GO:0022008	Neurogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0022412	Cellular process involved in reproduction in multicellular organism
Akt1	7227.FBpp0082682	GO Process	GO:0022414	Reproductive process
Akt1	7227.FBpp0082682	GO Process	GO:0023051	Regulation of signaling
Akt1	7227.FBpp0082682	GO Process	GO:0023052	Signaling
Akt1	7227.FBpp0082682	GO Process	GO:0023056	Positive regulation of signaling
Akt1	7227.FBpp0082682	GO Process	GO:0023057	Negative regulation of signaling
Akt1	7227.FBpp0082682	GO Process	GO:0030030	Cell projection organization
Akt1	7227.FBpp0082682	GO Process	GO:0030154	Cell differentiation
Akt1	7227.FBpp0082682	GO Process	GO:0030182	Neuron differentiation
Akt1	7227.FBpp0082682	GO Process	GO:0030307	Positive regulation of cell growth
Akt1	7227.FBpp0082682	GO Process	GO:0030334	Regulation of cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0030335	Positive regulation of cell migration
Akt1	7227.FBpp0082682	GO Process	GO:0031099	Regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0031102	Neuron projection regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0031104	Dendrite regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0031175	Neuron projection development
Akt1	7227.FBpp0082682	GO Process	GO:0031344	Regulation of cell projection organization
Akt1	7227.FBpp0082682	GO Process	GO:0031346	Positive regulation of cell projection organization
Akt1	7227.FBpp0082682	GO Process	GO:0032006	Regulation of TOR signaling
Akt1	7227.FBpp0082682	GO Process	GO:0032008	Positive regulation of TOR signaling
Akt1	7227.FBpp0082682	GO Process	GO:0032101	Regulation of response to external stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0032103	Positive regulation of response to external stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0032501	Multicellular organismal process
Akt1	7227.FBpp0082682	GO Process	GO:0032502	Developmental process
Akt1	7227.FBpp0082682	GO Process	GO:0032535	Regulation of cellular component size
Akt1	7227.FBpp0082682	GO Process	GO:0032868	Response to insulin
Akt1	7227.FBpp0082682	GO Process	GO:0032869	Cellular response to insulin stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0032870	Cellular response to hormone stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0032879	Regulation of localization
Akt1	7227.FBpp0082682	GO Process	GO:0033554	Cellular response to stress
Akt1	7227.FBpp0082682	GO Process	GO:0035206	Regulation of hemocyte proliferation
Akt1	7227.FBpp0082682	GO Process	GO:0035264	Multicellular organism growth
Akt1	7227.FBpp0082682	GO Process	GO:0035330	Regulation of hippo signaling
Akt1	7227.FBpp0082682	GO Process	GO:0035331	Negative regulation of hippo signaling
Akt1	7227.FBpp0082682	GO Process	GO:0035556	Intracellular signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0040007	Growth
Akt1	7227.FBpp0082682	GO Process	GO:0040008	Regulation of growth
Akt1	7227.FBpp0082682	GO Process	GO:0040012	Regulation of locomotion
Akt1	7227.FBpp0082682	GO Process	GO:0040014	Regulation of multicellular organism growth
Akt1	7227.FBpp0082682	GO Process	GO:0040017	Positive regulation of locomotion
Akt1	7227.FBpp0082682	GO Process	GO:0040018	Positive regulation of multicellular organism growth
Akt1	7227.FBpp0082682	GO Process	GO:0042060	Wound healing
Akt1	7227.FBpp0082682	GO Process	GO:0042127	Regulation of cell population proliferation
Akt1	7227.FBpp0082682	GO Process	GO:0042221	Response to chemical
Akt1	7227.FBpp0082682	GO Process	GO:0042592	Homeostatic process
Akt1	7227.FBpp0082682	GO Process	GO:0042632	Cholesterol homeostasis
Akt1	7227.FBpp0082682	GO Process	GO:0042981	Regulation of apoptotic process
Akt1	7227.FBpp0082682	GO Process	GO:0043066	Negative regulation of apoptotic process
Akt1	7227.FBpp0082682	GO Process	GO:0043067	Regulation of programmed cell death
Akt1	7227.FBpp0082682	GO Process	GO:0043069	Negative regulation of programmed cell death
Akt1	7227.FBpp0082682	GO Process	GO:0043434	Response to peptide hormone
Akt1	7227.FBpp0082682	GO Process	GO:0043491	Phosphatidylinositol 3-kinase/protein kinase B signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:0043523	Regulation of neuron apoptotic process
Akt1	7227.FBpp0082682	GO Process	GO:0043524	Negative regulation of neuron apoptotic process
Akt1	7227.FBpp0082682	GO Process	GO:0044087	Regulation of cellular component biogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0044319	Wound healing, spreading of cells
Akt1	7227.FBpp0082682	GO Process	GO:0045793	Positive regulation of cell size
Akt1	7227.FBpp0082682	GO Process	GO:0045833	Negative regulation of lipid metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0045886	Negative regulation of synaptic assembly at neuromuscular junction
Akt1	7227.FBpp0082682	GO Process	GO:0045926	Negative regulation of growth
Akt1	7227.FBpp0082682	GO Process	GO:0045927	Positive regulation of growth
Akt1	7227.FBpp0082682	GO Process	GO:0046620	Regulation of organ growth
Akt1	7227.FBpp0082682	GO Process	GO:0046622	Positive regulation of organ growth
Akt1	7227.FBpp0082682	GO Process	GO:0046883	Regulation of hormone secretion
Akt1	7227.FBpp0082682	GO Process	GO:0046888	Negative regulation of hormone secretion
Akt1	7227.FBpp0082682	GO Process	GO:0048010	Vascular endothelial growth factor receptor signaling pathway
Akt1	7227.FBpp0082682	GO Process	GO:0048167	Regulation of synaptic plasticity
Akt1	7227.FBpp0082682	GO Process	GO:0048468	Cell development
Akt1	7227.FBpp0082682	GO Process	GO:0048477	Oogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0048511	Rhythmic process
Akt1	7227.FBpp0082682	GO Process	GO:0048518	Positive regulation of biological process
Akt1	7227.FBpp0082682	GO Process	GO:0048519	Negative regulation of biological process
Akt1	7227.FBpp0082682	GO Process	GO:0048522	Positive regulation of cellular process
Akt1	7227.FBpp0082682	GO Process	GO:0048523	Negative regulation of cellular process
Akt1	7227.FBpp0082682	GO Process	GO:0048583	Regulation of response to stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0048584	Positive regulation of response to stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0048585	Negative regulation of response to stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0048589	Developmental growth
Akt1	7227.FBpp0082682	GO Process	GO:0048609	Multicellular organismal reproductive process
Akt1	7227.FBpp0082682	GO Process	GO:0048638	Regulation of developmental growth
Akt1	7227.FBpp0082682	GO Process	GO:0048639	Positive regulation of developmental growth
Akt1	7227.FBpp0082682	GO Process	GO:0048640	Negative regulation of developmental growth
Akt1	7227.FBpp0082682	GO Process	GO:0048666	Neuron development
Akt1	7227.FBpp0082682	GO Process	GO:0048679	Regulation of axon regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0048680	Positive regulation of axon regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0048699	Generation of neurons
Akt1	7227.FBpp0082682	GO Process	GO:0048729	Tissue morphogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0048731	System development
Akt1	7227.FBpp0082682	GO Process	GO:0048856	Anatomical structure development
Akt1	7227.FBpp0082682	GO Process	GO:0048869	Cellular developmental process
Akt1	7227.FBpp0082682	GO Process	GO:0048870	Cell motility
Akt1	7227.FBpp0082682	GO Process	GO:0048878	Chemical homeostasis
Akt1	7227.FBpp0082682	GO Process	GO:0050773	Regulation of dendrite development
Akt1	7227.FBpp0082682	GO Process	GO:0050789	Regulation of biological process
Akt1	7227.FBpp0082682	GO Process	GO:0050793	Regulation of developmental process
Akt1	7227.FBpp0082682	GO Process	GO:0050794	Regulation of cellular process
Akt1	7227.FBpp0082682	GO Process	GO:0050803	Regulation of synapse structure or activity
Akt1	7227.FBpp0082682	GO Process	GO:0050804	Modulation of chemical synaptic transmission
Akt1	7227.FBpp0082682	GO Process	GO:0050805	Negative regulation of synaptic transmission
Akt1	7227.FBpp0082682	GO Process	GO:0050807	Regulation of synapse organization
Akt1	7227.FBpp0082682	GO Process	GO:0050896	Response to stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0050994	Regulation of lipid catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0050995	Negative regulation of lipid catabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0051046	Regulation of secretion
Akt1	7227.FBpp0082682	GO Process	GO:0051048	Negative regulation of secretion
Akt1	7227.FBpp0082682	GO Process	GO:0051049	Regulation of transport
Akt1	7227.FBpp0082682	GO Process	GO:0051051	Negative regulation of transport
Akt1	7227.FBpp0082682	GO Process	GO:0051093	Negative regulation of developmental process
Akt1	7227.FBpp0082682	GO Process	GO:0051094	Positive regulation of developmental process
Akt1	7227.FBpp0082682	GO Process	GO:0051128	Regulation of cellular component organization
Akt1	7227.FBpp0082682	GO Process	GO:0051129	Negative regulation of cellular component organization
Akt1	7227.FBpp0082682	GO Process	GO:0051130	Positive regulation of cellular component organization
Akt1	7227.FBpp0082682	GO Process	GO:0051239	Regulation of multicellular organismal process
Akt1	7227.FBpp0082682	GO Process	GO:0051240	Positive regulation of multicellular organismal process
Akt1	7227.FBpp0082682	GO Process	GO:0051241	Negative regulation of multicellular organismal process
Akt1	7227.FBpp0082682	GO Process	GO:0051716	Cellular response to stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0051960	Regulation of nervous system development
Akt1	7227.FBpp0082682	GO Process	GO:0051961	Negative regulation of nervous system development
Akt1	7227.FBpp0082682	GO Process	GO:0051963	Regulation of synapse assembly
Akt1	7227.FBpp0082682	GO Process	GO:0051964	Negative regulation of synapse assembly
Akt1	7227.FBpp0082682	GO Process	GO:0055088	Lipid homeostasis
Akt1	7227.FBpp0082682	GO Process	GO:0055092	Sterol homeostasis
Akt1	7227.FBpp0082682	GO Process	GO:0060429	Epithelium development
Akt1	7227.FBpp0082682	GO Process	GO:0060541	Respiratory system development
Akt1	7227.FBpp0082682	GO Process	GO:0065007	Biological regulation
Akt1	7227.FBpp0082682	GO Process	GO:0065008	Regulation of biological quality
Akt1	7227.FBpp0082682	GO Process	GO:0070570	Regulation of neuron projection regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0070572	Positive regulation of neuron projection regeneration
Akt1	7227.FBpp0082682	GO Process	GO:0070887	Cellular response to chemical stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0071375	Cellular response to peptide hormone stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0071495	Cellular response to endogenous stimulus
Akt1	7227.FBpp0082682	GO Process	GO:0071840	Cellular component organization or biogenesis
Akt1	7227.FBpp0082682	GO Process	GO:0080090	Regulation of primary metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0080134	Regulation of response to stress
Akt1	7227.FBpp0082682	GO Process	GO:0080135	Regulation of cellular response to stress
Akt1	7227.FBpp0082682	GO Process	GO:0090066	Regulation of anatomical structure size
Akt1	7227.FBpp0082682	GO Process	GO:0090087	Regulation of peptide transport
Akt1	7227.FBpp0082682	GO Process	GO:0090130	Tissue migration
Akt1	7227.FBpp0082682	GO Process	GO:0090132	Epithelium migration
Akt1	7227.FBpp0082682	GO Process	GO:0090207	Regulation of triglyceride metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0090209	Negative regulation of triglyceride metabolic process
Akt1	7227.FBpp0082682	GO Process	GO:0090276	Regulation of peptide hormone secretion
Akt1	7227.FBpp0082682	GO Process	GO:0090278	Negative regulation of peptide hormone secretion
Akt1	7227.FBpp0082682	GO Process	GO:0090504	Epiboly
Akt1	7227.FBpp0082682	GO Process	GO:0090505	Epiboly involved in wound healing
Akt1	7227.FBpp0082682	GO Process	GO:0099177	Regulation of trans-synaptic signaling
Akt1	7227.FBpp0082682	GO Process	GO:0120035	Regulation of plasma membrane bounded cell projection organization
Akt1	7227.FBpp0082682	GO Process	GO:0120036	Plasma membrane bounded cell projection organization
Akt1	7227.FBpp0082682	GO Process	GO:0141124	Intracellular signaling cassette
Akt1	7227.FBpp0082682	GO Process	GO:1901698	Response to nitrogen compound
Akt1	7227.FBpp0082682	GO Process	GO:1901699	Cellular response to nitrogen compound
Akt1	7227.FBpp0082682	GO Process	GO:1901700	Response to oxygen-containing compound
Akt1	7227.FBpp0082682	GO Process	GO:1901701	Cellular response to oxygen-containing compound
Akt1	7227.FBpp0082682	GO Process	GO:1901888	Regulation of cell junction assembly
Akt1	7227.FBpp0082682	GO Process	GO:1901889	Negative regulation of cell junction assembly
Akt1	7227.FBpp0082682	GO Process	GO:1902531	Regulation of intracellular signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:1902532	Negative regulation of intracellular signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:1902533	Positive regulation of intracellular signal transduction
Akt1	7227.FBpp0082682	GO Process	GO:1903034	Regulation of response to wounding
Akt1	7227.FBpp0082682	GO Process	GO:1903036	Positive regulation of response to wounding
Akt1	7227.FBpp0082682	GO Process	GO:1903432	Regulation of TORC1 signaling
Akt1	7227.FBpp0082682	GO Process	GO:1903530	Regulation of secretion by cell
Akt1	7227.FBpp0082682	GO Process	GO:1903531	Negative regulation of secretion by cell
Akt1	7227.FBpp0082682	GO Process	GO:1903684	Regulation of border follicle cell migration
Akt1	7227.FBpp0082682	GO Process	GO:1903688	Positive regulation of border follicle cell migration
Akt1	7227.FBpp0082682	GO Process	GO:1904263	Positive regulation of TORC1 signaling
Akt1	7227.FBpp0082682	GO Process	GO:1904396	Regulation of neuromuscular junction development
Akt1	7227.FBpp0082682	GO Process	GO:1904397	Negative regulation of neuromuscular junction development
Akt1	7227.FBpp0082682	GO Process	GO:1905809	Negative regulation of synapse organization
Akt1	7227.FBpp0082682	GO Process	GO:1905952	Regulation of lipid localization
Akt1	7227.FBpp0082682	GO Process	GO:1905954	Positive regulation of lipid localization
Akt1	7227.FBpp0082682	GO Process	GO:2000026	Regulation of multicellular organismal development
Akt1	7227.FBpp0082682	GO Process	GO:2000145	Regulation of cell motility
