"Input Order","Search Term","Input GeneID","FlyBaseID","Input Gene Symbol","Output Species","Output GeneID","Human Species Gene ID","Output Gene Symbol","Ensembl ID (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","54413","14289","NLGN3","ENSG00000196338","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (NLGN3)    DRscDB Data: (NLGN3)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","283848","26741","CES4A","ENSG00000172824","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (CES4A)    DRscDB Data: (CES4A)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","1056","1848","CEL","ENSG00000170835","3","2.9","low","No","No","OrthoFinder, orthoMCL, SonicParanoid","","Add","G2F details (CEL)    DRscDB Data: (CEL)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","13","17","AADAC","ENSG00000114771","1","1","low","No","No","SonicParanoid","","Add","G2F details (AADAC)    DRscDB Data: (AADAC)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","343066","32038","AADACL4","ENSG00000204518","1","1","low","No","No","SonicParanoid","","Add","G2F details (AADACL4)    DRscDB Data: (AADACL4)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","107987423","-","LOC107987423","","1","1","low","No","Yes","OrthoFinder","","Add","G2F details (LOC107987423)    DRscDB Data: (LOC107987423)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","126767","32037","AADACL3","ENSG00000188984","1","1","low","No","No","SonicParanoid","","Add","G2F details (AADACL3)    DRscDB Data: (AADACL3)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","57552","29260","NCEH1","ENSG00000144959","1","1","low","No","No","SonicParanoid","","Add","G2F details (NCEH1)    DRscDB Data: (NCEH1)                             Human Protein Atlas  (HPA)"
"1","FBgn0000024","41625","FBgn0000024","Ace","Human","344752","24427","AADACL2","ENSG00000197953","1","1","low","No","No","SonicParanoid","","Add","G2F details (AADACL2)    DRscDB Data: (AADACL2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","208","392","AKT2","ENSG00000105221","12","11.88","high","Yes","Yes","Domainoid, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Hieranoid, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (AKT2)    DRscDB Data: (AKT2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","207","391","AKT1","ENSG00000142208","12","11.88","high","Yes","Yes","Domainoid, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Hieranoid, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (AKT1)    DRscDB Data: (AKT1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","10000","393","AKT3","ENSG00000117020","12","11.88","high","Yes","Yes","Domainoid, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Hieranoid, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (AKT3)    DRscDB Data: (AKT3)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","100533105","48354","C8orf44-SGK3","ENSG00000288602","2","1.91","moderate","No","Yes","OrthoDB, orthoMCL","","Add","G2F details (C8orf44-SGK3)    DRscDB Data: (C8orf44-SGK3)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","23678","10812","SGK3","ENSG00000104205","2","1.91","low","No","No","OrthoDB, orthoMCL","","Add","G2F details (SGK3)    DRscDB Data: (SGK3)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6446","10810","SGK1","ENSG00000118515","2","1.91","low","No","No","OrthoDB, orthoMCL","","Add","G2F details (SGK1)    DRscDB Data: (SGK1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","10110","13900","SGK2","ENSG00000101049","2","1.91","low","No","No","OrthoDB, orthoMCL","","Add","G2F details (SGK2)    DRscDB Data: (SGK2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6790","11393","AURKA","ENSG00000087586","1","0.9","low","No","No","orthoMCL","","Add","G2F details (AURKA)    DRscDB Data: (AURKA)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","282974","21332","STK32C","ENSG00000165752","1","0.9","low","No","No","orthoMCL","","Add","G2F details (STK32C)    DRscDB Data: (STK32C)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5580","9399","PRKCD","ENSG00000163932","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCD)    DRscDB Data: (PRKCD)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","124923","26314","RSKR","ENSG00000167524","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RSKR)    DRscDB Data: (RSKR)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","9212","11390","AURKB","ENSG00000178999","1","0.9","low","No","No","orthoMCL","","Add","G2F details (AURKB)    DRscDB Data: (AURKB)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","84930","19042","MASTL","ENSG00000120539","1","0.9","low","No","No","orthoMCL","","Add","G2F details (MASTL)    DRscDB Data: (MASTL)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5613","9441","PRKX","ENSG00000183943","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKX)    DRscDB Data: (PRKX)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","11329","17847","STK38","ENSG00000112079","1","0.9","low","No","No","orthoMCL","","Add","G2F details (STK38)    DRscDB Data: (STK38)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","26524","6515","LATS2","ENSG00000150457","1","0.9","low","No","No","orthoMCL","","Add","G2F details (LATS2)    DRscDB Data: (LATS2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6197","10432","RPS6KA3","ENSG00000177189","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA3)    DRscDB Data: (RPS6KA3)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5567","9381","PRKACB","ENSG00000142875","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKACB)    DRscDB Data: (PRKACB)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","9252","10434","RPS6KA5","ENSG00000100784","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA5)    DRscDB Data: (RPS6KA5)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5593","9416","PRKG2","ENSG00000138669","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKG2)    DRscDB Data: (PRKG2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","202374","28317","STK32A","ENSG00000169302","1","0.9","low","No","No","orthoMCL","","Add","G2F details (STK32A)    DRscDB Data: (STK32A)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5592","9414","PRKG1","ENSG00000185532","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKG1)    DRscDB Data: (PRKG1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5170","8816","PDPK1","ENSG00000140992","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PDPK1)    DRscDB Data: (PDPK1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5584","9404","PRKCI","ENSG00000163558","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCI)    DRscDB Data: (PRKCI)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","27330","10435","RPS6KA6","ENSG00000072133","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA6)    DRscDB Data: (RPS6KA6)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","83694","20222","RPS6KL1","ENSG00000198208","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KL1)    DRscDB Data: (RPS6KL1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5582","9402","PRKCG","ENSG00000126583","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCG)    DRscDB Data: (PRKCG)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5578","9393","PRKCA","ENSG00000154229","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCA)    DRscDB Data: (PRKCA)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5588","9410","PRKCQ","ENSG00000065675","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCQ)    DRscDB Data: (PRKCQ)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","9113","6514","LATS1","ENSG00000131023","1","0.9","low","No","No","orthoMCL","","Add","G2F details (LATS1)    DRscDB Data: (LATS1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","23012","17848","STK38L","ENSG00000211455","1","0.9","low","No","No","orthoMCL","","Add","G2F details (STK38L)    DRscDB Data: (STK38L)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6198","10436","RPS6KB1","ENSG00000108443","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KB1)    DRscDB Data: (RPS6KB1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","11113","1985","CIT","ENSG00000122966","1","0.9","low","No","No","orthoMCL","","Add","G2F details (CIT)    DRscDB Data: (CIT)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5583","9403","PRKCH","ENSG00000027075","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCH)    DRscDB Data: (PRKCH)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5586","9406","PKN2","ENSG00000065243","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PKN2)    DRscDB Data: (PKN2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6196","10431","RPS6KA2","ENSG00000071242","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA2)    DRscDB Data: (RPS6KA2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5581","9401","PRKCE","ENSG00000171132","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCE)    DRscDB Data: (PRKCE)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","29941","17999","PKN3","ENSG00000160447","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PKN3)    DRscDB Data: (PKN3)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6199","10437","RPS6KB2","ENSG00000175634","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KB2)    DRscDB Data: (RPS6KB2)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5579","9395","PRKCB","ENSG00000166501","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCB)    DRscDB Data: (PRKCB)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","55351","14217","STK32B","ENSG00000152953","1","0.9","low","No","No","orthoMCL","","Add","G2F details (STK32B)    DRscDB Data: (STK32B)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5566","9380","PRKACA","ENSG00000072062","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKACA)    DRscDB Data: (PRKACA)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5585","9405","PKN1","ENSG00000123143","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PKN1)    DRscDB Data: (PKN1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","1760","2933","DMPK","ENSG00000104936","1","0.9","low","No","No","orthoMCL","","Add","G2F details (DMPK)    DRscDB Data: (DMPK)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6195","10430","RPS6KA1","ENSG00000117676","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA1)    DRscDB Data: (RPS6KA1)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","6795","11391","AURKC","ENSG00000105146","1","0.9","low","No","No","orthoMCL","","Add","G2F details (AURKC)    DRscDB Data: (AURKC)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5568","9382","PRKACG","ENSG00000165059","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKACG)    DRscDB Data: (PRKACG)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","5590","9412","PRKCZ","ENSG00000067606","1","0.9","low","No","No","orthoMCL","","Add","G2F details (PRKCZ)    DRscDB Data: (PRKCZ)                             Human Protein Atlas  (HPA)"
"2","FBgn0010379","41957","FBgn0010379","Akt","Human","8986","10433","RPS6KA4","ENSG00000162302","1","0.9","low","No","No","orthoMCL","","Add","G2F details (RPS6KA4)    DRscDB Data: (RPS6KA4)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","652","1071","BMP4","ENSG00000125378","12","11.81","high","Yes","Yes","Domainoid, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Compara, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (BMP4)    DRscDB Data: (BMP4)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","650","1069","BMP2","ENSG00000125845","11","10.8","moderate","No","Yes","Domainoid, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Compara, Panther, Phylome, SonicParanoid, orthoMCL","","Add","G2F details (BMP2)    DRscDB Data: (BMP2)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","653","1072","BMP5","ENSG00000112175","6","5.74","moderate","No","No","eggNOG, OrthoDB, Compara, Hieranoid, orthoMCL, SonicParanoid","","Add","G2F details (BMP5)    DRscDB Data: (BMP5)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","656","1075","BMP8B","ENSG00000116985","6","5.74","moderate","No","No","eggNOG, OrthoDB, Compara, Hieranoid, orthoMCL, SonicParanoid","","Add","G2F details (BMP8B)    DRscDB Data: (BMP8B)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","655","1074","BMP7","ENSG00000101144","6","5.74","moderate","No","No","eggNOG, OrthoDB, Compara, Hieranoid, orthoMCL, SonicParanoid","","Add","G2F details (BMP7)    DRscDB Data: (BMP7)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","27302","20869","BMP10","ENSG00000163217","5","4.92","moderate","No","Yes","eggNOG, OMA, OrthoDB, Panther, orthoMCL","","Add","G2F details (BMP10)    DRscDB Data: (BMP10)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","2658","4217","GDF2","ENSG00000263761","5","4.84","moderate","No","Yes","eggNOG, OrthoDB, Compara, Panther, orthoMCL","","Add","G2F details (GDF2)    DRscDB Data: (GDF2)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","2657","4214","GDF1","ENSG00000130283","5","4.84","moderate","No","Yes","eggNOG, OrthoDB, Compara, Panther, orthoMCL","","Add","G2F details (GDF1)    DRscDB Data: (GDF1)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","9573","4218","GDF3","ENSG00000184344","5","4.84","moderate","No","Yes","eggNOG, OrthoDB, Compara, Panther, orthoMCL","","Add","G2F details (GDF3)    DRscDB Data: (GDF3)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","8200","4220","GDF5","ENSG00000125965","5","4.84","moderate","No","Yes","eggNOG, OrthoDB, Compara, orthoMCL, Panther","","Add","G2F details (GDF5)    DRscDB Data: (GDF5)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","392255","4221","GDF6","ENSG00000156466","5","4.84","moderate","No","Yes","eggNOG, OrthoDB, Compara, orthoMCL, Panther","","Add","G2F details (GDF6)    DRscDB Data: (GDF6)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","654","1073","BMP6","ENSG00000153162","5","4.81","moderate","No","No","eggNOG, OrthoDB, Hieranoid, orthoMCL, SonicParanoid","","Add","G2F details (BMP6)    DRscDB Data: (BMP6)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","353500","21650","BMP8A","ENSG00000183682","5","4.73","moderate","No","No","eggNOG, Compara, Hieranoid, orthoMCL, SonicParanoid","","Add","G2F details (BMP8A)    DRscDB Data: (BMP8A)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","151449","4222","GDF7","ENSG00000143869","4","3.91","moderate","No","Yes","eggNOG, OrthoDB, orthoMCL, Panther","","Add","G2F details (GDF7)    DRscDB Data: (GDF7)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","651","1070","BMP3","ENSG00000152785","4","3.74","moderate","No","Yes","eggNOG, OrthoDB, Compara, orthoMCL","","Add","G2F details (BMP3)    DRscDB Data: (BMP3)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","2661","4224","GDF9","ENSG00000164404","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (GDF9)    DRscDB Data: (GDF9)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","7043","11769","TGFB3","ENSG00000119699","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (TGFB3)    DRscDB Data: (TGFB3)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","9210","1068","BMP15","ENSG00000130385","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (BMP15)    DRscDB Data: (BMP15)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","7042","11768","TGFB2","ENSG00000092969","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (TGFB2)    DRscDB Data: (TGFB2)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","7040","11766","TGFB1","ENSG00000105329","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (TGFB1)    DRscDB Data: (TGFB1)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","9518","30142","GDF15","ENSG00000130513","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (GDF15)    DRscDB Data: (GDF15)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","3623","6065","INHA","ENSG00000123999","3","2.93","moderate","No","Yes","eggNOG, Compara, Panther","","Add","G2F details (INHA)    DRscDB Data: (INHA)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","7044","3122","LEFTY2","ENSG00000143768","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (LEFTY2)    DRscDB Data: (LEFTY2)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","10637","6552","LEFTY1","ENSG00000243709","2","2","moderate","No","Yes","eggNOG, Panther","","Add","G2F details (LEFTY1)    DRscDB Data: (LEFTY1)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","4838","7865","NODAL","ENSG00000156574","3","2.9","low","No","No","eggNOG, Panther, orthoMCL","","Add","G2F details (NODAL)    DRscDB Data: (NODAL)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","2662","4215","GDF10","ENSG00000266524","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","G2F details (GDF10)    DRscDB Data: (GDF10)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","3624","6066","INHBA","ENSG00000122641","3","2.73","low","No","No","eggNOG, Compara, orthoMCL","","Add","G2F details (INHBA)    DRscDB Data: (INHBA)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","3625","6067","INHBB","ENSG00000163083","3","2.73","low","No","No","eggNOG, Compara, orthoMCL","","Add","G2F details (INHBB)    DRscDB Data: (INHBB)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","83729","24029","INHBE","ENSG00000139269","3","2.73","low","No","No","eggNOG, Compara, orthoMCL","","Add","G2F details (INHBE)    DRscDB Data: (INHBE)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","3626","6068","INHBC","ENSG00000175189","3","2.73","low","No","No","eggNOG, Compara, orthoMCL","","Add","G2F details (INHBC)    DRscDB Data: (INHBC)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","619373","32311","MBOAT4","ENSG00000177669","1","0.9","low","No","No","eggNOG","","Add","G2F details (MBOAT4)    DRscDB Data: (MBOAT4)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","268","464","AMH","ENSG00000104899","1","0.9","low","No","Yes","eggNOG","","Add","G2F details (AMH)    DRscDB Data: (AMH)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","57673","23040","BEND3","ENSG00000178409","1","0.9","low","No","Yes","eggNOG","","Add","G2F details (BEND3)    DRscDB Data: (BEND3)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","2660","4223","MSTN","ENSG00000138379","1","0.9","low","No","No","eggNOG","","Add","G2F details (MSTN)    DRscDB Data: (MSTN)                             Human Protein Atlas  (HPA)"
"3","FBgn0000490","33432","FBgn0000490","dpp","Human","10220","4216","GDF11","ENSG00000135414","1","0.9","low","No","No","eggNOG","","Add","G2F details (GDF11)    DRscDB Data: (GDF11)                             Human Protein Atlas  (HPA)"
"4","FBgn0005590","46000","FBgn0005590","scw","Human","655","1074","BMP7","ENSG00000101144","9","8.75","moderate","Yes","No","eggNOG, OrthoDB, OrthoFinder, Compara, Hieranoid, Panther, Phylome, orthoMCL, SonicParanoid","","Add","G2F details (BMP7)    DRscDB Data: (BMP7)                             Human Protein Atlas  (HPA)"
"4","FBgn0005590","46000","FBgn0005590","scw","Human","653","1072","BMP5","ENSG00000112175","9","8.75","moderate","Yes","No","eggNOG, OrthoDB, OrthoFinder, Compara, Hieranoid, Panther, Phylome, orthoMCL, SonicParanoid","","Add","G2F details (BMP5)    DRscDB Data: (BMP5)                             Human Protein Atlas  (HPA)"
